country,p0p1,p1p2,p2p3,p3p4,p4p5,p5p6,p6p7,p7p8,p8p9,p9p10,p10p11,p11p12,p12p13,p13p14,p14p15,p15p16,p16p17,p17p18,p18p19,p19p20,p20p21,p21p22,p22p23,p23p24,p24p25,p25p26,p26p27,p27p28,p28p29,p29p30,p30p31,p31p32,p32p33,p33p34,p34p35,p35p36,p36p37,p37p38,p38p39,p39p40,p40p41,p41p42,p42p43,p43p44,p44p45,p45p46,p46p47,p47p48,p48p49,p49p50,p50p51,p51p52,p52p53,p53p54,p54p55,p55p56,p56p57,p57p58,p58p59,p59p60,p60p61,p61p62,p62p63,p63p64,p64p65,p65p66,p66p67,p67p68,p68p69,p69p70,p70p71,p71p72,p72p73,p73p74,p74p75,p75p76,p76p77,p77p78,p78p79,p79p80,p80p81,p81p82,p82p83,p83p84,p84p85,p85p86,p86p87,p87p88,p88p89,p89p90,p90p91,p91p92,p92p93,p93p94,p94p95,p95p96,p96p97,p97p98,p98p99,p99p100
DM (XCD),-35135.348,-11979.054,-5168.882,-3306.099,-2245.382,-1519.518,-980.372,-575.008,-262.668,-7.742,203.916,368.916,511.360,634.472,747.708,859.855,967.484,1080.761,1188.139,1304.345,1434.236,1592.540,1769.131,1939.487,2115.533,2313.675,2531.359,2750.256,2976.728,3223.955,3476.831,3728.327,3997.565,4278.688,4562.991,4862.902,5165.534,5457.829,5758.034,6059.201,6352.794,6664.506,6989.651,7318.562,7662.914,8024.800,8400.369,8764.975,9122.760,9492.596,9876.326,10278.969,10688.602,11111.708,11535.527,11957.587,12394.461,12861.883,13360.438,13868.953,14407.890,14972.604,15544.934,16139.527,16758.473,17412.320,18103.619,18809.899,19566.478,20380.344,21210.990,22077.876,23016.988,24025.188,25081.594,26180.350,27355.139,28637.097,29997.600,31420.328,32912.814,34545.651,36355.331,38311.054,40422.110,42773.865,45356.486,48210.814,51472.974,55150.416,59475.553,64669.710,70843.821,78386.050,87964.431,100431.621,117773.514,144106.393,193330.553,266977.189
DO (DOP),-101017.699,-34776.915,-15569.117,-10215.589,-7050.986,-4813.866,-3135.867,-1862.298,-884.129,-91.083,573.228,1094.057,1538.021,1922.985,2286.023,2644.380,2986.441,3343.059,3685.348,4061.385,4477.351,4974.960,5532.992,6078.307,6644.373,7275.595,7963.844,8670.875,9407.442,10203.651,11024.888,11840.882,12706.017,13611.510,14528.324,15493.360,16467.164,17412.450,18365.450,19312.154,20251.447,21249.571,22283.128,23327.595,24427.147,25579.843,26775.422,27940.814,29081.794,30258.027,31472.070,32744.242,34041.333,35376.389,36712.781,38045.432,39428.191,40905.040,42474.333,44069.511,45754.570,47526.619,49325.977,51188.039,53122.103,55159.281,57300.690,59485.394,61815.752,64309.729,66858.148,69514.675,72385.129,75467.473,78696.392,82062.747,85640.069,89518.428,93627.533,97920.127,102435.004,107345.489,112773.802,118630.933,124940.184,131876.398,139486.406,147944.217,157572.959,168458.671,181194.031,196420.623,214565.902,236736.053,264946.223,301649.561,352649.117,430226.225,574436.477,790124.376
DZ (DZD),-49846.024,-16801.935,-6939.943,-4312.717,-2876.402,-1932.665,-1244.061,-732.667,-337.604,-13.634,254.159,463.011,644.872,802.111,941.948,1080.111,1214.444,1355.353,1486.969,1627.283,1785.043,1979.361,2195.505,2402.100,2614.566,2856.283,3124.984,3389.530,3660.753,3959.605,4263.650,4568.349,4896.452,5236.729,5580.672,5943.443,6310.257,6663.545,7033.592,7408.472,7766.196,8144.673,8543.115,8947.371,9367.752,9810.826,10271.033,10716.648,11156.304,11611.092,12084.125,12580.813,13085.781,13610.265,14136.320,14659.448,15199.264,15778.385,16397.962,17032.534,17707.503,18410.637,19122.228,19866.489,20642.394,21462.511,22334.079,23225.135,24182.830,25218.825,26276.199,27382.006,28582.082,29870.346,31220.562,32621.042,34129.921,35784.217,37539.937,39381.221,41310.781,43434.052,45791.142,48344.453,51107.995,54228.201,57660.541,61429.612,65749.178,70607.049,76334.680,83226.866,91401.101,101382.411,114022.237,130471.037,153395.643,188188.373,253748.741,352093.346
EC (USD),-39185.416,-13507.890,-6077.643,-4002.244,-2768.512,-1892.801,-1235.702,-736.441,-353.098,-42.625,217.908,422.451,596.468,747.414,890.200,1031.017,1165.504,1305.196,1439.682,1587.674,1750.999,1945.696,2164.166,2378.276,2600.544,2848.275,3117.952,3396.069,3686.003,3999.009,4322.283,4643.729,4983.884,5339.936,5700.490,6079.753,6462.534,6834.482,7208.400,7579.364,7948.218,8340.142,8745.572,9155.362,9587.098,10039.372,10508.669,10966.289,11414.485,11876.184,12352.093,12850.791,13359.477,13882.793,14406.672,14929.285,15471.592,16050.757,16665.795,17290.679,17950.311,18644.268,19349.338,20078.464,20835.725,21632.657,22469.400,23323.025,24232.638,25205.416,26199.857,27236.221,28355.583,29557.663,30816.717,32129.790,33524.175,35033.774,36632.420,38302.531,40060.283,41970.106,44080.111,46356.256,48807.542,51497.135,54447.682,57729.381,61462.652,65685.336,70619.421,76512.356,83537.877,92121.952,103047.164,117259.984,137006.592,167055.778,222877.165,306373.824
EE (EUR),-211688.428,-80404.793,-45874.321,-32476.762,-24545.089,-18120.979,-13375.026,-9439.610,-6314.918,-4482.878,-2931.752,-1457.708,-587.083,-182.894,-12.112,26.476,79.617,213.126,529.717,1084.878,1739.184,2375.183,3044.230,3719.943,4382.887,5032.218,5684.365,6431.152,7300.650,8221.036,9105.181,9855.535,10486.463,10989.328,11501.019,12209.217,13027.546,13862.118,14849.822,15871.982,16619.614,17427.991,18402.550,19342.558,20278.342,21391.480,22517.481,23590.153,24745.635,25867.786,26912.292,27800.849,28825.357,30064.962,31174.721,32367.758,33713.926,34894.945,36109.201,37356.693,38616.484,39880.876,41254.648,42799.202,44401.122,46346.109,48234.106,49761.479,51331.853,53183.609,55426.034,57675.594,59497.400,61350.941,64080.270,67030.330,69537.238,72594.048,76311.926,80001.168,83889.828,88287.080,92831.455,97064.872,101429.358,105752.063,111162.650,118153.187,125004.113,133048.733,142083.685,151913.964,165944.799,183518.035,205854.499,238347.691,290323.241,389561.061,590399.679,865306.952
EG (EGP),-94943.277,-32174.142,-13565.234,-8544.006,-5746.552,-3872.712,-2493.193,-1462.615,-667.339,-16.384,522.483,942.461,1306.824,1621.620,1906.299,2188.034,2460.104,2746.363,3015.703,3304.759,3629.112,4026.898,4469.912,4894.950,5333.132,5828.965,6377.001,6921.744,7482.723,8098.261,8725.886,9352.200,10025.054,10725.414,11433.499,12180.467,12934.985,13662.398,14417.371,15178.863,15912.995,16691.111,17506.626,18332.809,19194.664,20101.774,21043.593,21956.554,22854.776,23783.826,24749.216,25762.767,26793.318,27860.731,28930.714,29995.384,31095.739,32274.505,33533.985,34821.413,36188.484,37616.806,39063.118,40570.749,42141.464,43801.741,45562.047,47361.357,49292.432,51375.927,53502.160,55723.403,58132.201,60718.087,63427.921,66242.295,69263.459,72569.088,76077.852,79752.261,83603.917,87831.033,92520.358,97594.095,103078.455,109232.965,115997.405,123447.682,131976.376,141577.703,152888.204,166488.909,182635.410,202355.931,227364.501,259914.463,305234.021,374020.828,503125.152,696500.139
ER (ERN),-6202.440,-2136.306,-958.122,-629.485,-434.833,-297.027,-193.631,-115.123,-54.841,-5.988,34.959,67.092,94.444,118.173,140.583,162.694,183.796,205.770,226.885,250.091,275.750,306.401,340.788,374.414,409.336,448.254,490.670,534.307,579.774,628.900,679.596,729.980,783.365,839.239,895.811,955.346,1015.428,1073.780,1132.543,1190.883,1248.812,1310.376,1374.094,1438.497,1506.310,1577.386,1651.114,1722.999,1793.365,1865.897,1940.733,2019.142,2099.106,2181.399,2263.780,2345.923,2431.179,2522.212,2618.934,2717.225,2821.044,2930.228,3041.118,3155.856,3275.012,3400.481,3532.324,3666.832,3810.253,3963.709,4120.526,4283.992,4460.592,4650.227,4848.888,5056.015,5276.064,5514.527,5767.121,6031.006,6308.624,6610.443,6944.035,7303.946,7691.607,8117.489,8584.729,9104.158,9695.348,10363.826,11145.560,12079.865,13193.435,14554.021,16285.436,18538.023,21667.896,26429.486,35278.760,48514.562
ES (EUR),-511.922,-243.995,-227.609,-201.392,-149.853,-107.648,-88.382,-74.281,-62.960,-55.413,-42.106,-25.522,-15.790,-6.058,5.362,16.286,27.706,35.055,43.695,55.810,471.306,3164.085,7692.534,10992.966,13031.617,16237.410,19242.705,20828.720,22017.511,23587.934,27036.431,30593.370,33312.764,35368.495,37558.786,40747.300,43225.281,44760.451,46535.743,48948.280,51672.142,55453.513,60714.939,66303.974,69836.186,72039.586,74639.514,76899.717,78544.222,79549.794,80344.043,82088.649,85043.596,87844.022,89593.296,90650.904,91526.583,93169.202,95798.624,98743.640,101869.791,104760.288,108259.729,112521.342,116474.016,121151.225,126710.767,131649.647,136043.238,141215.785,147314.360,153415.814,159138.516,164874.823,171146.785,178605.553,186767.903,194885.168,203768.479,211787.729,219309.060,228320.574,238563.383,249471.144,259847.718,270824.100,283843.502,299113.176,317301.550,338433.947,363514.151,393695.402,429319.114,470715.080,526372.766,605623.153,716470.694,897339.230,1234381.504,1666453.278
ET (ETB),-21564.317,-7427.836,-3332.142,-2189.567,-1512.653,-1033.321,-673.699,-400.628,-190.934,-21.010,121.442,233.200,328.366,410.914,488.856,565.772,639.181,715.633,789.067,869.827,959.079,1065.685,1185.278,1302.270,1423.742,1559.122,1706.687,1858.486,2016.678,2187.573,2363.960,2539.259,2724.973,2919.346,3116.163,3323.289,3532.315,3735.297,3939.706,4142.641,4344.182,4558.335,4780.006,5004.017,5239.910,5487.169,5743.624,5993.687,6238.508,6490.827,6751.142,7023.879,7302.033,7588.285,7874.815,8160.570,8457.110,8773.802,9110.219,9452.129,9813.225,10193.010,10578.711,10977.791,11392.241,11828.654,12287.214,12754.989,13253.792,13787.447,14332.819,14901.312,15515.458,16174.943,16865.776,17586.112,18351.340,19180.532,20058.888,20976.489,21941.840,22991.346,24151.272,25402.725,26750.634,28231.289,29855.731,31661.698,33717.075,36041.234,38758.984,42007.023,45878.337,50608.384,56627.672,64458.796,75339.730,91893.631,122657.591,168671.228
FI (EUR),-162220.575,-60903.080,-35917.969,-28058.981,-22773.431,-18910.676,-15615.307,-12862.792,-10676.293,-8736.113,-7073.926,-5709.646,-4638.366,-3603.593,-2605.401,-1744.149,-952.594,-302.163,8.153,125.901,290.259,513.418,781.743,1097.182,1516.444,2119.905,2895.443,3871.269,4895.796,5876.167,6786.121,7845.712,9323.412,10994.041,12776.862,14721.371,16581.176,18528.499,20631.809,22589.377,24437.133,26209.637,27935.821,29662.582,31633.931,33694.240,35572.804,37400.502,39396.743,41562.679,43885.181,46136.182,48359.334,50638.618,52879.446,55326.839,57933.467,60741.248,63775.146,66910.848,69919.350,72755.991,75647.683,78720.542,82062.087,85402.983,88752.032,92046.608,95388.442,99232.871,103765.033,108337.092,112719.687,117608.268,122437.831,127148.202,132379.783,138271.318,144599.360,151157.487,158028.095,165678.354,174003.718,182287.668,191804.586,203090.833,215503.771,229283.659,244204.596,261779.202,280739.806,300767.361,324409.909,356672.481,399786.886,450488.706,515603.169,608972.355,761382.579,966100.678
FJ (FJD),-74901.442,-25511.153,-10965.731,-6995.828,-4743.482,-3207.644,-2068.457,-1212.796,-553.360,-14.776,432.033,780.357,1081.302,1341.376,1579.963,1816.246,2043.175,2282.101,2508.353,2752.769,3026.263,3359.879,3731.994,4090.553,4461.041,4878.297,5337.104,5797.604,6273.762,6793.910,7325.715,7854.810,8421.523,9013.111,9611.341,10242.378,10879.243,11494.216,12126.879,12762.118,13380.411,14036.526,14721.516,15414.571,16139.755,16902.014,17693.148,18461.033,19214.820,19994.160,20802.917,21651.732,22515.120,23407.247,24301.068,25191.026,26112.027,27097.488,28149.035,29221.932,30359.356,31550.734,32757.905,34012.793,35319.126,36699.476,38159.468,39651.316,41249.987,42970.527,44726.516,46559.300,48545.201,50677.236,52911.214,55234.187,57719.494,60432.882,63312.672,66324.837,69484.154,72942.450,76775.979,80919.604,85393.319,90383.455,95864.117,101917.864,108838.727,116638.634,125815.367,136838.848,149939.190,165941.960,186260.383,212706.907,249499.309,305361.482,409851.752,566206.636
FM (USD),-33799.676,-11513.139,-4950.656,-3159.119,-2142.376,-1448.822,-934.325,-547.845,-249.944,-6.748,195.107,352.411,488.357,605.827,713.601,820.327,922.859,1030.764,1132.969,1243.430,1366.993,1517.680,1685.794,1847.815,2015.209,2203.699,2410.991,2619.070,2834.160,3069.231,3309.479,3548.547,3804.584,4071.889,4342.209,4627.335,4915.081,5192.935,5478.716,5765.676,6044.971,6341.432,6650.930,6964.031,7291.611,7636.029,7993.419,8340.327,8680.879,9032.963,9398.280,9781.746,10171.763,10574.818,10978.528,11380.535,11796.627,12241.809,12716.800,13201.423,13715.200,14253.349,14798.639,15365.484,15955.522,16579.038,17238.458,17912.290,18634.277,19411.298,20204.370,21032.100,21928.950,22891.774,23900.656,24949.765,26072.121,27297.337,28597.765,29957.944,31384.622,32946.198,34677.132,36548.075,38568.066,40820.902,43295.182,46028.316,49152.843,52674.397,56817.371,61793.972,67708.304,74933.024,84106.256,96046.233,112656.850,137877.065,185048.701,255633.292
FR (EUR),0.000,257.120,383.233,434.522,474.508,541.740,650.223,781.904,940.242,1128.948,1343.046,1585.657,1863.275,2161.983,2471.910,2793.563,3131.834,3501.065,3909.183,4375.677,4940.699,5630.992,6428.755,7309.273,8262.168,9284.911,10376.743,11544.242,12821.490,14257.329,15903.807,17815.166,20016.796,22490.478,25214.447,28161.793,31288.313,34551.575,37900.460,41267.060,44577.478,47806.322,51016.862,54320.025,57808.689,61541.060,65535.107,69745.275,74069.916,78318.214,82206.224,85547.432,88468.206,91287.751,94301.654,97745.187,101772.555,106422.138,111574.911,116890.746,121794.750,125822.539,129077.703,132037.028,135182.190,138941.978,143641.922,149439.772,156258.172,163657.454,170736.854,176683.509,181536.731,185924.555,190566.125,196168.182,203359.355,212608.921,223999.971,236974.906,250071.737,261726.487,271702.281,280895.412,290563.979,302247.326,317657.982,338511.346,365974.242,399339.590,434087.549,465267.463,496344.883,540167.029,612504.423,716138.819,835795.037,983275.452,1299284.678,1817871.862
GA (XAF),-65109.979,-22500.350,-10220.177,-6776.073,-4706.590,-3227.007,-2116.810,-1271.708,-623.430,-99.904,341.575,689.860,984.230,1240.154,1483.671,1723.426,1952.275,2188.535,2416.658,2669.268,2946.573,3273.948,3642.083,4005.024,4382.379,4801.476,5257.598,5730.956,6225.135,6756.877,7308.516,7858.044,8437.076,9042.664,9656.159,10300.742,10951.699,11585.582,12219.469,12846.455,13472.637,14137.521,14824.183,15518.299,16250.416,17017.117,17812.351,18589.758,19351.118,20134.211,20939.438,21782.230,22643.523,23529.306,24415.857,25300.719,26219.639,27200.453,28240.310,29296.161,30409.629,31581.326,32772.624,34004.427,35282.325,36624.926,38031.670,39465.474,40991.037,42619.778,44285.953,46022.681,47896.046,49907.745,52014.687,54213.283,56544.587,59061.022,61722.299,64504.251,67435.944,70614.209,74120.788,77902.064,81972.439,86420.962,91301.193,96736.423,102908.981,109898.376,118040.408,127739.542,139313.105,153454.457,171460.705,194878.557,227408.615,276953.316,368877.822,506399.192
GB (GBP),-48939.110,-16987.866,-6919.829,-3837.164,-2648.338,-1656.144,-1227.959,-561.904,-11.757,106.958,252.348,307.012,378.961,494.342,634.204,716.244,880.498,1141.445,1623.591,2375.020,2981.673,3789.608,4380.379,5864.196,7984.586,9207.983,10257.386,11627.137,13711.904,16636.632,19255.664,20787.476,22257.166,23210.754,25730.462,28455.311,29833.311,32830.865,36077.082,37656.451,38069.105,41106.845,44198.635,45221.013,47005.612,49644.210,54144.007,57200.876,57494.375,57683.373,59928.884,64698.841,69617.961,73390.985,76010.456,78987.478,82726.195,86259.506,89301.195,93347.450,98496.631,101573.416,104651.782,108342.854,111393.668,118108.530,124742.581,128944.140,134089.548,141796.604,149722.316,156001.272,161053.321,165573.738,169825.135,179914.669,193527.775,202976.612,214601.205,222712.316,229688.739,245676.864,262071.590,281174.406,298797.967,304030.065,312732.913,339384.761,363994.310,390893.680,420071.026,449350.417,491806.306,551810.912,598231.017,644327.351,732678.292,892859.889,1232764.350,1927807.338
GD (XCD),-46120.404,-15729.617,-6795.904,-4350.527,-2956.293,-2001.155,-1291.349,-757.511,-346.215,-10.566,268.148,485.432,672.949,835.052,984.273,1132.054,1273.833,1423.053,1564.586,1717.773,1889.003,2097.547,2330.276,2554.791,2786.924,3048.016,3334.803,3623.380,3922.067,4247.993,4581.431,4913.044,5267.894,5638.471,6013.330,6408.654,6807.628,7193.018,7588.552,7985.245,8372.250,8783.089,9211.549,9644.959,10098.799,10575.700,11070.610,11551.127,12022.623,12509.986,13015.531,13546.034,14085.735,14643.126,15201.466,15757.454,16333.064,16948.831,17605.562,18275.317,18985.089,19728.944,20482.805,21265.940,22081.019,22942.082,23852.253,24782.152,25778.149,26849.406,27942.777,29083.747,30319.704,31646.647,33036.984,34483.170,36029.117,37715.754,39505.734,41377.466,43341.062,45488.946,47869.278,50441.585,53217.943,56309.591,59704.594,63457.467,67746.144,72581.155,78267.120,85094.862,93211.355,103126.533,115719.360,132110.097,154908.610,189528.329,254229.546,351027.914
GE (GEL),-69758.926,-24053.987,-10834.450,-7140.030,-4941.503,-3379.568,-2207.375,-1316.474,-632.610,-79.060,385.823,751.043,1061.408,1330.820,1585.824,1837.225,2077.250,2326.566,2566.402,2830.758,3122.290,3469.372,3859.050,4241.145,4638.027,5079.843,5561.158,6057.640,6575.357,7133.963,7711.402,8285.554,8892.822,9528.340,10172.010,10849.049,11532.344,12196.490,12863.859,13525.541,14183.936,14883.410,15606.899,16338.035,17108.417,17915.706,18752.951,19569.973,20369.868,21193.779,22042.968,22932.478,23840.062,24773.874,25708.570,26640.991,27608.740,28642.088,29739.203,30853.886,32030.504,33268.360,34525.934,35826.736,37177.210,38598.341,40090.315,41611.930,43233.397,44966.978,46739.172,48586.382,50581.096,52723.060,54966.774,57306.927,59791.298,62480.366,65327.619,68302.468,71433.669,74834.914,78592.216,82645.347,87009.980,91796.649,97047.948,102889.515,109533.631,117049.689,125829.324,136312.583,148811.854,164083.931,183522.326,208809.114,243940.989,297406.940,396715.033,545261.141
GG (UNK),-389676.709,-135405.158,-62774.235,-42178.055,-29486.103,-20322.653,-13506.748,-8309.741,-4325.332,-1128.286,1614.079,3817.279,5644.763,7243.242,8783.177,10293.752,11740.349,13199.304,14622.940,16221.506,17947.327,19919.681,22144.090,24380.856,26709.908,29278.219,32074.659,35022.542,38103.200,41395.336,44860.299,48345.858,51972.343,55751.147,59581.923,63587.103,67643.465,71617.183,75549.359,79420.624,83313.624,87430.634,91671.480,95967.453,100501.545,105243.433,110164.985,115011.866,119775.665,124648.225,129617.979,134808.851,140148.361,145640.980,151141.661,156644.271,162366.858,168464.110,174897.902,181431.605,188299.218,195518.183,202879.127,210492.738,218376.107,226611.530,235186.910,243915.486,253157.111,262982.336,273064.436,283579.393,294877.595,307004.264,319692.974,332942.321,346963.257,361941.843,377700.343,394235.954,411729.478,430560.486,451221.521,473476.914,497426.403,523400.831,551916.313,583733.221,619685.631,660509.987,707541.936,763012.720,829336.229,910395.296,1013714.753,1147998.548,1334416.471,1618900.491,2145266.032,2931524.135
GH (GHS),-33559.276,-11402.919,-4857.079,-3079.941,-2080.350,-1404.411,-904.748,-530.391,-241.702,-5.668,189.950,342.389,474.371,588.412,692.340,795.223,894.299,998.599,1097.072,1203.125,1321.966,1467.302,1629.322,1785.073,1945.853,2127.320,2327.348,2527.181,2733.390,2959.152,3189.660,3419.283,3665.626,3922.435,4182.113,4456.031,4732.606,4999.440,5275.112,5552.501,5821.283,6106.377,6404.541,6706.407,7021.787,7353.514,7697.869,8031.862,8360.082,8699.496,9051.962,9421.962,9798.232,10187.449,10577.498,10965.741,11367.284,11797.165,12256.163,12724.885,13222.191,13742.487,14269.495,14818.022,15389.273,15993.022,16632.354,17285.747,17986.447,18741.449,19511.966,20316.505,21188.612,22124.868,23105.932,24125.519,25218.056,26412.131,27679.565,29005.959,30396.696,31920.939,33611.205,35439.032,37413.559,39622.368,42049.145,44726.001,47788.302,51237.694,55298.664,60179.512,65977.027,73058.500,82044.736,93741.179,110019.136,134729.454,181022.559,250321.635
GI (GIP),-445889.810,-154936.767,-71826.995,-48259.882,-33737.641,-23252.745,-15453.861,-9507.264,-4948.282,-1290.071,1847.729,4368.539,6459.558,8288.532,10050.374,11778.648,13433.831,15103.211,16732.101,18561.075,20535.796,22792.544,25337.893,27897.265,30562.243,33500.924,36700.774,40073.627,43598.624,47365.421,51330.024,55318.027,59467.464,63791.043,68174.218,72756.950,77398.227,81944.939,86444.063,90873.512,95327.939,100038.627,104891.030,109806.447,114994.338,120419.999,126051.265,131597.082,137047.633,142622.721,148309.113,154248.612,160358.046,166642.673,172936.328,179232.436,185780.074,192756.362,200117.918,207593.583,215451.537,223711.498,232133.771,240845.257,249865.239,259288.368,269100.359,279087.719,289662.359,300904.734,312440.880,324472.372,337400.165,351275.968,365794.879,380955.232,396998.652,414138.020,432170.096,451091.286,471108.337,492656.207,516298.253,541764.977,569170.139,598892.610,631522.823,667930.789,709071.266,755786.656,809606.465,873084.455,948981.484,1041740.849,1159974.125,1313640.890,1526967.228,1852514.688,2454860.517,3354621.051
GL (DKK),-446810.014,-152169.639,-65388.536,-41707.496,-28275.921,-19119.755,-12328.784,-7228.585,-3297.836,-87.523,2575.954,4652.108,6446.050,7996.296,9418.298,10826.298,12178.976,13603.070,14951.364,16407.834,18037.580,20025.801,22243.592,24380.325,26587.963,29074.450,31809.206,34553.291,37390.181,40489.901,43658.607,46811.531,50188.979,53713.980,57279.018,61039.306,64834.723,68499.105,72269.571,76055.969,79740.245,83650.491,87732.518,91863.190,96184.702,100727.551,105442.417,110018.451,114510.836,119155.321,123975.312,129034.265,134179.732,139496.993,144824.345,150128.314,155617.382,161491.059,167758.140,174152.905,180932.753,188033.679,195228.668,202708.099,210494.769,218722.192,227425.161,236317.923,245847.313,256103.890,266571.651,277497.692,289336.405,302046.198,315363.829,329211.692,344028.333,360204.841,377373.858,395332.237,414167.661,434786.576,457642.541,482348.192,509022.569,538778.391,571460.333,607557.417,648825.954,695335.515,750056.156,815789.949,893906.913,989330.980,1110486.929,1268183.929,1487574.488,1820674.214,2443770.653,3376156.550
GM (GMD),-11293.242,-3864.116,-1690.107,-1091.033,-745.332,-505.857,-327.188,-192.361,-88.591,-4.064,66.281,121.181,168.397,209.235,247.165,284.697,320.625,358.373,394.319,433.404,476.980,529.789,588.810,645.953,705.112,771.464,844.138,917.754,994.122,1077.206,1162.405,1247.036,1337.373,1431.831,1527.402,1628.153,1729.807,1828.134,1928.455,2028.762,2127.191,2231.754,2340.519,2450.493,2565.857,2686.988,2812.666,2934.825,3054.559,3178.243,3306.378,3440.803,3577.610,3718.716,3860.028,4000.803,4146.662,4302.605,4468.734,4637.970,4817.130,5005.150,5195.805,5393.556,5599.254,5816.411,6045.567,6279.606,6529.974,6798.817,7073.277,7359.560,7669.454,8002.174,8350.780,8713.669,9100.784,9522.384,9969.675,10437.133,10927.851,11463.667,12057.073,12697.978,13389.241,14155.792,14997.249,15929.126,16992.909,18193.216,19602.961,21293.985,23305.727,25763.458,28887.075,32952.488,38604.878,47191.730,63208.316,87163.299
GN (GNF),-13845.604,-4803.756,-2214.927,-1483.578,-1035.976,-713.282,-472.342,-288.633,-147.805,-34.621,61.908,138.979,203.276,259.406,313.300,366.204,416.805,468.207,518.216,574.150,634.846,704.950,783.990,862.982,945.217,1036.089,1134.975,1238.789,1347.290,1463.444,1585.111,1707.079,1834.460,1967.354,2102.059,2243.129,2385.861,2525.443,2663.889,2800.300,2937.299,3082.402,3231.934,3383.286,3543.068,3710.225,3883.671,4054.067,4221.295,4392.648,4567.835,4750.910,4938.816,5132.061,5325.523,5518.905,5719.927,5934.253,6160.739,6390.649,6632.553,6886.986,7146.187,7414.211,7691.863,7982.408,8285.495,8594.074,8921.265,9269.544,9626.557,9998.816,10399.295,10829.246,11279.300,11749.226,12246.690,12779.898,13341.847,13930.661,14552.905,15224.258,15962.289,16757.539,17613.277,18542.977,19563.285,20701.418,21989.413,23450.804,25140.589,27140.319,29530.125,32450.541,36171.847,41009.034,47725.915,57971.793,76944.685,105313.039
GQ (XAF),-42902.491,-14169.215,-5392.984,-3178.688,-2053.475,-1371.136,-894.206,-548.922,-281.858,-62.123,119.797,262.758,388.742,499.006,589.399,676.896,765.585,855.375,935.935,1019.524,1113.576,1230.535,1360.420,1483.169,1608.022,1754.046,1921.149,2079.898,2239.357,2417.467,2597.776,2783.614,2984.239,3187.872,3393.800,3610.112,3830.225,4042.448,4273.409,4511.050,4727.336,4953.864,5197.536,5446.737,5702.467,5973.877,6256.040,6528.308,6801.401,7083.065,7376.460,7684.257,7997.479,8327.452,8659.415,8988.673,9325.838,9690.726,10082.640,10487.474,10921.603,11366.969,11817.049,12296.418,12796.863,13323.857,13889.148,14466.867,15090.698,15773.241,16471.538,17205.921,18004.637,18862.453,19762.195,20690.375,21706.607,22828.703,24017.313,25272.777,26590.192,28055.915,29686.712,31464.745,33400.805,35636.550,38106.734,40788.113,43870.166,47325.874,51403.389,56311.400,62112.838,69186.836,78078.927,89633.064,105826.178,130450.297,177785.287,249528.347
GR (EUR),-1002399.781,-326288.525,-129753.653,-93964.221,-68220.933,-47850.080,-31125.920,-16918.841,-6893.511,-1566.172,12.930,13.981,14.612,18.606,132.766,418.900,806.685,1279.512,2072.426,3420.791,4611.792,5611.792,6892.775,8142.328,9376.534,11090.924,12902.970,14453.794,16007.667,17211.073,18359.395,19619.250,21060.961,22673.280,24131.074,25512.656,26991.895,28498.464,29607.262,30739.607,32494.153,34677.059,36552.702,37802.781,39047.813,40387.769,41615.457,43085.760,44711.219,46215.476,47543.553,48690.194,50192.243,52163.019,54273.603,56145.147,57840.510,59489.201,61080.707,63124.225,65589.272,67929.542,70589.691,73385.127,75503.386,77597.782,80315.851,83369.355,86653.597,90018.359,93200.740,96327.197,99448.083,103189.803,107360.410,111381.958,114625.729,117640.654,121378.170,126448.177,132079.101,136745.240,142372.905,149185.895,157719.688,168027.893,177939.904,187999.608,200678.358,215020.726,230374.131,248248.716,268423.311,296719.316,332967.698,385578.315,457632.317,532467.669,704119.654,1009971.732
GT (GTQ),-57936.499,-19289.589,-7588.284,-4569.101,-2989.216,-1998.850,-1293.534,-777.424,-378.162,-49.862,221.389,433.777,620.059,781.973,919.596,1054.333,1188.210,1326.330,1452.639,1585.217,1734.536,1919.709,2125.350,2320.519,2519.987,2750.321,3010.469,3261.156,3515.208,3797.582,4083.818,4374.831,4689.065,5011.287,5336.969,5679.871,6027.779,6362.711,6721.360,7088.209,7429.084,7787.772,8169.909,8559.310,8961.151,9386.271,9828.133,10255.087,10679.997,11119.049,11576.257,12056.170,12544.282,13055.213,13568.495,14078.183,14601.900,15166.306,15771.668,16394.708,17060.386,17748.081,18443.363,19177.709,19944.049,20752.816,21617.007,22500.482,23452.796,24489.700,25549.097,26660.421,27868.163,29164.851,30524.454,31930.251,33458.840,35141.908,36926.459,38805.556,40775.394,42956.856,45381.897,48017.911,50880.646,54157.244,57770.285,61710.382,66235.011,71313.495,77306.338,84521.753,93061.588,103481.685,116624.105,133714.305,157604.032,193888.225,263012.899,367255.305
